Charger Name,Charger Coordinates,Light Station Name,Light Station Coordinates,Distance (km)
GasStation1,"34.9574648, 29.5602684",Point 8,"34.958627, 29.5616525",0.18058490466951688
GasStation2,"34.955183, 29.555155",Point 69,"34.9542698, 29.5539243",0.15129806597472228
GasStation3,"34.9631005, 29.5709311",Point 2,"34.9629592, 29.5701443",0.07339978293504784
GasStation4,"34.957848, 29.560524",Point 8,"34.958627, 29.5616525",0.13446092818529018
GasStation5,"34.9617422, 29.5701168",Point 2,"34.9629592, 29.5701443",0.13534740680070387
ShoppingCenter1,"34.9660327, 29.5540665",Point 73,"34.9666916, 29.5535326",0.08794790836934631
ShoppingCenter2,"34.9516567, 29.5468615",Point 62,"34.9495996, 29.5490501",0.30349610601606125
ShoppingCenter3,"34.9596611, 29.5680229",Point 3,"34.958052, 29.5702575",0.27107896199598824
ShoppingCenter4,"34.9451468, 29.5536066",Point 57,"34.9460086, 29.5528243",0.11944520604650934
ShoppingCenter5,"34.9493769, 29.5595858",Point 13,"34.9507738, 29.5619471",0.2654106551595487
ShoppingCenter6,"34.9450258, 29.5621571",Point 16,"34.9438827, 29.5637867",0.19549536107230756
ShoppingCenter7,"34.9446591, 29.561897",Point 16,"34.9438827, 29.5637867",0.19266631644203241
ShoppingCenter8,"34.9457424, 29.5639631",Point 16,"34.9438827, 29.5637867",0.20741335627978885
ShoppingCenter9,"34.9603252, 29.5660512",Point 6,"34.9579382, 29.5637458",0.33850886849827994
ShoppingCenter10,"34.9589984, 29.5669246",Point 6,"34.9579382, 29.5637458",0.3127584858148402
ShoppingCenter11,"34.9532136, 29.5558562",Point 70,"34.9537055, 29.5561825",0.06225830493790523
ShoppingCenter12,"34.951535, 29.5550276",Point 67,"34.9519095, 29.5558002",0.08180624809024022
ShoppingCenter13,"34.957611, 29.5693396",Point 3,"34.958052, 29.5702575",0.09696408030037904
ShoppingCenter14,"34.9586695, 29.5691321",Point 3,"34.958052, 29.5702575",0.12342253264968517
ShoppingCenter15,"34.9596619, 29.5688345",Point 3,"34.958052, 29.5702575",0.22104847801319033
ShoppingCenter16,"34.9527793, 29.5488571",Point 65,"34.9523841, 29.5505243",0.15817274809900478
ShoppingCenter17,"34.9562671, 29.5678864",Point 5,"34.9556745, 29.5695941",0.1690055228791041
ShoppingCenter18,"34.9535555, 29.5501674",Point 64,"34.9528348, 29.5507296",0.09511787285595437
ShoppingCenter19,"34.9558056, 29.565437",Point 9,"34.9552298, 29.5661281",0.0898123042132167
ShoppingCenter20,"34.9475371, 29.5499006",Point 61,"34.9483998, 29.5506977",0.12033385124825326
Municipal1,"34.9505849, 29.5528293",Point 60,"34.9488646, 29.5540294",0.22035218896325773
Municipal2,"34.9513333, 29.5694663",Point 10,"34.9523656, 29.5668832",0.2619144951861212
Municipal3,"34.9251108, 29.5442194",Point 42,"34.9243252, 29.5440165",0.08929188391445109
Recreation1,"34.9568607, 29.563888",Point 6,"34.9579382, 29.5637458",0.12051130250251377
Recreation2,"34.9502127, 29.553273",Point 60,"34.9488646, 29.5540294",0.1649946528091481
Recreation3,"34.9463399, 29.5404402",Point 63,"34.9476959, 29.5484248",0.7432079883373289
Recreation4,"34.9309495, 29.5412126",Point 47,"34.9328067, 29.5399569",0.2361155375622913
Recreation5,"34.9262389, 29.5454845",Point 33,"34.9278905, 29.5460305",0.19027584572921796
Recreation6,"34.9340661, 29.5460247",Point 50,"34.9352675, 29.546151",0.1340848080824516
School1,"34.9498218, 29.5638142",Point 12,"34.9507791, 29.5620171",0.19534035107674377
School2,"34.9484832, 29.5561411",Point 58,"34.9483462, 29.5544968",0.15063856722386842
School3,"34.9420449, 29.5579101",Point 23,"34.9408527, 29.5587603",0.15355639915138475
School4,"34.9273953, 29.5435335",Point 39,"34.9268693, 29.5427144",0.09485352345623556
School5,"34.9264297, 29.5446812",Point 40,"34.9261558, 29.5429337",0.1622003113696629
Residential1,"34.9516683, 29.5636916",Point 12,"34.9507791, 29.5620171",0.18184357605287202
Residential2,"34.9464641, 29.5502468",Point 63,"34.9476959, 29.5484248",0.2152635220400825
Residential3,"34.946289, 29.5616049",Point 14,"34.9479236, 29.562192",0.18947254219406034
Residential4,"34.9457535, 29.5626757",Point 16,"34.9438827, 29.5637867",0.23136164520986396
Residential5,"34.9419371, 29.5624472",Point 17,"34.9409134, 29.561575",0.1388446178045946
Residential6,"34.9526405, 29.5660196",Point 10,"34.9523656, 29.5668832",0.08443447412503724
Residential7,"34.9358679, 29.5606105",Point 20,"34.9347762, 29.5609292",0.12481952031570566
Residential8,"34.932533, 29.5561182",Point 25,"34.9318269, 29.5575226",0.15018437082306813
Residential9,"34.9318785, 29.5563702",Point 25,"34.9318269, 29.5575226",0.10521092767861519
Residential10,"34.9355724, 29.5556676",Point 24,"34.9375676, 29.556288",0.2289506380833769
Residential11,"34.935893, 29.5498233",Point 27,"34.9349898, 29.5492404",0.11362141072672757
Residential12,"34.9309146, 29.5529144",Point 26,"34.9302751, 29.5512365",0.1686827407864026
Residential13,"34.9518282, 29.5674187",Point 10,"34.9523656, 29.5668832",0.07715384131193107
Residential14,"34.9230304, 29.5438816",Point 43,"34.9241952, 29.544374",0.13707923953926798
Residential15,"34.9419577, 29.5503784",Point 53,"34.9411986, 29.5503879",0.084412482394027
Residential16,"34.9423412, 29.5507611",Point 53,"34.9411986, 29.5503879",0.13152647419812433
Residential17,"34.9335846, 29.5461722",Point 50,"34.9352675, 29.546151",0.18713994041429216
Residential18,"34.9325117, 29.5451922",Point 29,"34.9318583, 29.5471235",0.19046140844785336
Residential19,"34.9300344, 29.5429941",Point 37,"34.9296456, 29.5434279",0.058591924745566806
Residential20,"34.9441295, 29.563908",Point 16,"34.9438827, 29.5637867",0.02958632325468076
Residential21,"34.9409556, 29.5645596",Point 17,"34.9409134, 29.561575",0.2720904932421785
