WKT,name,description,X Coordinate,Y Coordinate
POINT (34.9642238 29.5697911),Point 1,,34.9642238,29.5697911
POINT (34.9629592 29.5701443),Point 2,,34.9629592,29.5701443
POINT (34.958052 29.5702575),Point 3,,34.958052,29.5702575
POINT (34.9573241 29.5722278),Point 4,,34.9573241,29.5722278
POINT (34.9556745 29.5695941),Point 5,,34.9556745,29.5695941
POINT (34.9579382 29.5637458),Point 6,,34.9579382,29.5637458
POINT (34.9550398 29.5628391),Point 7,,34.9550398,29.5628391
POINT (34.958627 29.5616525),Point 8,,34.958627,29.5616525
POINT (34.9552298 29.5661281),Point 9,,34.9552298,29.5661281
POINT (34.9523656 29.5668832),Point 10,,34.9523656,29.5668832
POINT (34.9503898 29.5662892),Point 11,,34.9503898,29.5662892
POINT (34.9507791 29.5620171),Point 12,,34.9507791,29.5620171
POINT (34.9507738 29.5619471),Point 13,,34.9507738,29.5619471
POINT (34.9479236 29.562192),Point 14,,34.9479236,29.562192
POINT (34.9479558 29.5645099),Point 15,,34.9479558,29.5645099
POINT (34.9438827 29.5637867),Point 16,,34.9438827,29.5637867
POINT (34.9409134 29.561575),Point 17,,34.9409134,29.561575
POINT (34.939164 29.5611059),Point 18,,34.939164,29.5611059
POINT (34.9353926 29.563372),Point 19,,34.9353926,29.563372
POINT (34.9347762 29.5609292),Point 20,,34.9347762,29.5609292
POINT (34.9384971 29.5577362),Point 21,,34.9384971,29.5577362
POINT (34.9377418 29.5581795),Point 22,,34.9377418,29.5581795
POINT (34.9408527 29.5587603),Point 23,,34.9408527,29.5587603
POINT (34.9375676 29.556288),Point 24,,34.9375676,29.556288
POINT (34.9318269 29.5575226),Point 25,,34.9318269,29.5575226
POINT (34.9302751 29.5512365),Point 26,,34.9302751,29.5512365
POINT (34.9349898 29.5492404),Point 27,,34.9349898,29.5492404
POINT (34.9319655 29.5481782),Point 28,,34.9319655,29.5481782
POINT (34.9318583 29.5471235),Point 29,,34.9318583,29.5471235
POINT (34.9308376 29.5468504),Point 30,,34.9308376,29.5468504
POINT (34.9304392 29.5455814),Point 31,,34.9304392,29.5455814
POINT (34.9290337 29.5455067),Point 32,,34.9290337,29.5455067
POINT (34.9278905 29.5460305),Point 33,,34.9278905,29.5460305
POINT (34.928105 29.5462919),Point 34,,34.928105,29.5462919
POINT (34.9284537 29.5463805),Point 35,,34.9284537,29.5463805
POINT (34.9295398 29.5443623),Point 36,,34.9295398,29.5443623
POINT (34.9296456 29.5434279),Point 37,,34.9296456,29.5434279
POINT (34.9289263 29.5425818),Point 38,,34.9289263,29.5425818
POINT (34.9268693 29.5427144),Point 39,,34.9268693,29.5427144
POINT (34.9261558 29.5429337),Point 40,,34.9261558,29.5429337
POINT (34.9255121 29.5430037),Point 41,,34.9255121,29.5430037
POINT (34.9243252 29.5440165),Point 42,,34.9243252,29.5440165
POINT (34.9241952 29.544374),Point 43,,34.9241952,29.544374
POINT (34.9283992 29.5412989),Point 44,,34.9283992,29.5412989
POINT (34.9276911 29.5408154),Point 45,,34.9276911,29.5408154
POINT (34.933547 29.5384167),Point 46,,34.933547,29.5384167
POINT (34.9328067 29.5399569),Point 47,,34.9328067,29.5399569
POINT (34.9350885 29.5424584),Point 48,,34.9350885,29.5424584
POINT (34.9369648 29.5454305),Point 49,,34.9369648,29.5454305
POINT (34.9352675 29.546151),Point 50,,34.9352675,29.546151
POINT (34.9404149 29.5458009),Point 51,,34.9404149,29.5458009
POINT (34.9379213 29.5486103),Point 52,,34.9379213,29.5486103
POINT (34.9411986 29.5503879),Point 53,,34.9411986,29.5503879
POINT (34.9393658 29.5519224),Point 54,,34.9393658,29.5519224
POINT (34.9424954 29.5532355),Point 55,,34.9424954,29.5532355
POINT (34.9428814 29.5547939),Point 56,,34.9428814,29.5547939
POINT (34.9460086 29.5528243),Point 57,,34.9460086,29.5528243
POINT (34.9483462 29.5544968),Point 58,,34.9483462,29.5544968
POINT (34.9472063 29.5551667),Point 59,,34.9472063,29.5551667
POINT (34.9488646 29.5540294),Point 60,,34.9488646,29.5540294
POINT (34.9483998 29.5506977),Point 61,,34.9483998,29.5506977
POINT (34.9495996 29.5490501),Point 62,,34.9495996,29.5490501
POINT (34.9476959 29.5484248),Point 63,,34.9476959,29.5484248
POINT (34.9528348 29.5507296),Point 64,,34.9528348,29.5507296
POINT (34.9523841 29.5505243),Point 65,,34.9523841,29.5505243
POINT (34.9519848 29.5509267),Point 66,,34.9519848,29.5509267
POINT (34.9519095 29.5558002),Point 67,,34.9519095,29.5558002
POINT (34.9538836 29.5546616),Point 68,,34.9538836,29.5546616
POINT (34.9542698 29.5539243),Point 69,,34.9542698,29.5539243
POINT (34.9537055 29.5561825),Point 70,,34.9537055,29.5561825
POINT (34.9549153 29.5594081),Point 71,,34.9549153,29.5594081
POINT (34.952351 29.5606121),Point 72,,34.952351,29.5606121
POINT (34.9666916 29.5535326),Point 73,,34.9666916,29.5535326
POINT (34.9644316 29.5536506),Point 74,,34.9644316,29.5536506
POINT (34.9585736 29.5545933),Point 75,,34.9585736,29.5545933
POINT (34.9640239 29.55562),Point 76,,34.9640239,29.55562
POINT (34.9605425 29.5569079),Point 77,,34.9605425,29.5569079
POINT (34.9560837 29.5515144),Point 78,,34.9560837,29.5515144
POINT (34.9578516 29.5509659),Point 79,,34.9578516,29.5509659
POINT (34.9595448 29.5506581),Point 80,,34.9595448,29.5506581
POINT (34.9573297 29.5499071),Point 81,,34.9573297,29.5499071
POINT (34.9611349 29.5497288),Point 82,,34.9611349,29.5497288
POINT (34.9621623 29.5494843),Point 83,,34.9621623,29.5494843
POINT (34.9621309 29.5507254),Point 84,,34.9621309,29.5507254
POINT (34.9659926 29.5494333),Point 85,,34.9659926,29.5494333